"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Aug 11 10:10:39 GMT 2025","Mon Aug 11 10:10:39 GMT 2025","0","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerExistingScreenNameTest","createPlayerExistingScreenNameTest","Create Player with existing screen name should fail"
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","259","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerTest","com.spribe.api.tests.CreatePlayerTest","createPlayerTest","createPlayerTest","Create Player test"
"unknown","Mon Aug 11 10:10:39 GMT 2025","Mon Aug 11 10:10:39 GMT 2025","0","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerNegativeTest","com.spribe.api.tests.DeletePlayerNegativeTest","deleteAlreadyDeletedPlayerTest","deleteAlreadyDeletedPlayerTest","Delete already deleted Player test"
"passed","Mon Aug 11 10:10:40 GMT 2025","Mon Aug 11 10:10:42 GMT 2025","2336","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","269","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:10:44 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","248","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerNegativeTest","com.spribe.api.tests.DeletePlayerNegativeTest","deletePlayerNegativeTest","deletePlayerNegativeTest","Delete Player Negative test"
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:46 GMT 2025","259","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerWrongEditorTest","createPlayerWrongEditorTest","Create Player with invalid editor"
"passed","Mon Aug 11 10:10:52 GMT 2025","Mon Aug 11 10:10:53 GMT 2025","503","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"unknown","Mon Aug 11 10:10:39 GMT 2025","Mon Aug 11 10:10:39 GMT 2025","0","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerExistingLoginTest","createPlayerExistingLoginTest","Create Player with existing login should fail"
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","256","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","259","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:10:51 GMT 2025","Mon Aug 11 10:10:52 GMT 2025","507","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerNegativeTest","com.spribe.api.tests.UpdatePlayerNegativeTest","updatePlayerWrongEditorTest","updatePlayerWrongEditorTest","Update player with wrong editor permissions"
"passed","Mon Aug 11 10:10:47 GMT 2025","Mon Aug 11 10:10:47 GMT 2025","507","API Test Suite","API Tests","com.spribe.api.tests.GetPlayerTest","com.spribe.api.tests.GetPlayerTest","getAdminPlayerTest","getAdminPlayerTest","Get Admin Player test"
"passed","Mon Aug 11 10:10:52 GMT 2025","Mon Aug 11 10:10:53 GMT 2025","251","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"passed","Mon Aug 11 10:10:40 GMT 2025","Mon Aug 11 10:10:44 GMT 2025","4059","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerTest","com.spribe.api.tests.DeletePlayerTest","deletePlayerTest","deletePlayerTest","Delete player test"
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","251","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:10:40 GMT 2025","Mon Aug 11 10:10:43 GMT 2025","2349","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 10:10:45 GMT 2025","Mon Aug 11 10:10:45 GMT 2025","251","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
